file,rpfguan_penalty_solution,rpfguan_penalty_optimal,rpfguan_penalty_time,rpfguan_penaltygap,rpfguan_penaltybuild_time,tbasedw_penalty_solution,tbasedw_penalty_optimal,tbasedw_penalty_time,tbasedw_penaltygap,tbasedw_penaltybuild_time
m15j15d15p05_0.csv.out,4,1,2.61899995803833,0.0,0.04700016975402832,4,1,3.1610000133514404,0.0,1.248999834060669
m15j15d15p05_1.csv.out,1,1,0.3579998016357422,0.0,0.059999942779541016,1,1,1.7249999046325684,0.0,0.7359998226165771
m15j15d15p05_2.csv.out,4,1,0.8009998798370361,0.0,0.04499983787536621,4,1,2.680999994277954,0.0,0.6860001087188721
m15j15d15p05_3.csv.out,5,1,6.641999959945679,0.0,0.05200004577636719,5,1,1.8429999351501465,0.0,0.8529999256134033
m15j15d15p05_4.csv.out,4,1,0.2219998836517334,0.0,0.042999982833862305,4,1,1.0099999904632568,0.0,0.5799999237060547
m15j15d15p05_5.csv.out,2,1,1.4850001335144043,0.0,0.06400012969970703,2,1,2.129000186920166,0.0,0.628000020980835
m15j15d15p05_6.csv.out,1,1,0.37800002098083496,0.0,0.04400014877319336,1,1,1.4600000381469727,0.0,0.8070001602172852
m15j15d15p05_7.csv.out,2,1,0.23399996757507324,0.0,0.0409998893737793,2,1,0.9230000972747803,0.0,0.3960001468658447
m15j15d15p05_8.csv.out,2,1,0.17399978637695312,0.0,0.042999982833862305,2,1,1.1730000972747803,0.0,0.5669999122619629
m15j15d15p05_9.csv.out,1,1,11.644000053405762,0.0,0.04200005531311035,1,1,1.0799999237060547,0.0,0.5160000324249268
m15j15d15p10_0.csv.out,6,1,9.585999965667725,0.0,0.04200005531311035,6,1,7.516999959945679,0.0,2.8399999141693115
m15j15d15p10_1.csv.out,5,1,1.1429998874664307,0.0,0.07399988174438477,5,1,4.4709999561309814,0.0,1.625
m15j15d15p10_2.csv.out,7,1,1.3429999351501465,0.0,0.039999961853027344,7,1,4.041000127792358,0.0,2.0
m15j15d15p10_3.csv.out,8,1,4.822999954223633,0.0,0.03899979591369629,8,1,5.825000047683716,0.0,2.438999891281128
m15j15d15p10_4.csv.out,3,1,0.4549999237060547,0.0,0.040000200271606445,3,1,2.6050000190734863,0.0,1.2599999904632568
m15j15d15p10_5.csv.out,5,1,1.2579998970031738,0.0,0.04499983787536621,5,1,5.0269999504089355,0.0,2.308000087738037
m15j15d15p10_6.csv.out,5,1,26.96399998664856,0.0,0.04699993133544922,5,1,5.7190001010894775,0.0,2.2260000705718994
m15j15d15p10_7.csv.out,6,1,1.0329999923706055,0.0,0.04499983787536621,6,1,3.806999921798706,0.0,1.690000057220459
m15j15d15p10_8.csv.out,6,1,4.669999837875366,0.0,0.039999961853027344,6,1,5.011999845504761,0.0,1.9900000095367432
m15j15d15p10_9.csv.out,6,1,2.0920000076293945,0.0,0.06299996376037598,6,1,6.330000162124634,0.0,1.9670000076293945
m15j15d15p20_0.csv.out,9,1,0.5639998912811279,0.0,0.03900003433227539,9,1,20.562000036239624,0.0,6.55400013923645
m15j15d15p20_1.csv.out,10,1,0.16700005531311035,0.0,0.042999982833862305,10,1,10.801000118255615,0.0,5.951000213623047
m15j15d15p20_2.csv.out,7,1,0.8819999694824219,0.0,0.04399991035461426,7,1,30.128000020980835,0.0,5.366000175476074
m15j15d15p20_3.csv.out,7,1,0.8289999961853027,0.0,0.0409998893737793,7,1,14.749000072479248,0.0,5.1600000858306885
m15j15d15p20_4.csv.out,8,1,1.5890002250671387,0.0,0.039999961853027344,8,1,10.94700002670288,0.0,4.854000091552734
m15j15d15p20_5.csv.out,8,1,0.7160000801086426,0.0,0.039999961853027344,8,1,15.416000127792358,0.0,4.871000051498413
m15j15d15p20_6.csv.out,8,1,1.5699999332427979,0.0,0.039999961853027344,8,1,33.355000019073486,0.0,5.891000032424927
m15j15d15p20_7.csv.out,10,1,0.9360001087188721,0.0,0.04700016975402832,10,1,13.885999917984009,0.0,5.934000015258789
m15j15d15p20_8.csv.out,9,1,0.17799997329711914,0.0,0.03900003433227539,9,1,19.58899998664856,0.0,9.062999963760376
m15j15d15p20_9.csv.out,9,1,0.17600011825561523,0.0,0.03900003433227539,9,1,10.365999937057495,0.0,5.0
m15j15d15p40_0.csv.out,11,1,0.2909998893737793,0.0,0.0709998607635498,11,1,71.22500014305115,0.0,26.754000186920166
m15j15d15p40_1.csv.out,11,1,3.057000160217285,0.0,0.0709998607635498,11,1,90.37100005149841,0.0,25.438999891281128
m15j15d15p40_2.csv.out,11,1,0.2650001049041748,0.0,0.04799985885620117,11,1,50.86299991607666,0.0,25.107999801635742
m15j15d15p40_3.csv.out,10,1,0.21599984169006348,0.0,0.042999982833862305,10,1,70.36999988555908,0.0,17.613999843597412
m15j15d15p40_4.csv.out,10,1,0.20199990272521973,0.0,0.04200005531311035,10,1,81.70899987220764,0.0,19.26900005340576
m15j15d15p40_5.csv.out,10,1,0.3659999370574951,0.0,0.0409998893737793,10,1,48.008999824523926,0.0,23.615999937057495
m15j15d15p40_6.csv.out,9,1,1.2639999389648438,0.0,0.04500007629394531,9,1,46.026000022888184,0.0,16.42799997329712
m15j15d15p40_7.csv.out,9,1,0.2650001049041748,0.0,0.04200005531311035,9,1,46.6729998588562,0.0,19.312000036239624
m15j15d15p40_8.csv.out,10,1,0.5199999809265137,0.0,0.039999961853027344,10,1,52.425999879837036,0.0,20.063999891281128
m15j15d15p40_9.csv.out,9,1,0.49199986457824707,0.0,0.042999982833862305,9,1,25.747999906539917,0.0,13.577999830245972
m15j15d25p05_0.csv.out,0,1,0.22299981117248535,0.0,0.039999961853027344,0,1,1.6059999465942383,0.0,0.6719999313354492
m15j15d25p05_1.csv.out,2,1,0.15700006484985352,0.0,0.04699993133544922,2,1,1.3919999599456787,0.0,0.6710000038146973
m15j15d25p05_2.csv.out,1,1,0.11099982261657715,0.0,0.03899979591369629,1,1,1.2909998893737793,0.0,0.560999870300293
m15j15d25p05_3.csv.out,1,1,0.1419999599456787,0.0,0.042999982833862305,1,1,1.2010002136230469,0.0,0.625
m15j15d25p05_4.csv.out,1,1,0.6690001487731934,0.0,0.0410001277923584,1,1,3.1410000324249268,0.0,0.8389999866485596
m15j15d25p05_5.csv.out,1,1,0.20000004768371582,0.0,0.04200005531311035,1,1,1.2979998588562012,0.0,0.5880000591278076
m15j15d25p05_6.csv.out,2,1,1.2379999160766602,0.0,0.042999982833862305,2,1,1.2660000324249268,0.0,0.5339999198913574
m15j15d25p05_7.csv.out,2,1,0.1510000228881836,0.0,0.042999982833862305,2,1,1.6419999599456787,0.0,0.7929999828338623
m15j15d25p05_8.csv.out,3,1,1.5729999542236328,0.0,0.03900003433227539,3,1,1.2290000915527344,0.0,0.6790001392364502
m15j15d25p05_9.csv.out,2,1,0.6160001754760742,0.0,0.0410001277923584,2,1,1.440000057220459,0.0,0.687999963760376
m15j15d25p10_0.csv.out,4,1,0.8880000114440918,0.0,0.04200005531311035,4,1,4.085999965667725,0.0,1.7749998569488525
