file,rpfguan_penalty_solution,rpfguan_penalty_optimal,rpfguan_penalty_time,rpfguan_penaltygap,rpfguan_penaltybuild_time,tbasedw_penalty_solution,tbasedw_penalty_optimal,tbasedw_penalty_time,tbasedw_penaltygap,tbasedw_penaltybuild_time
m15j15d15p05_0.csv.out,2,1,0.8980000019073486,0.0,0.16000008583068848,2,1,2.2799999713897705,0.0,1.191999912261963
m15j15d15p05_1.csv.out,1,1,0.6050000190734863,0.0,0.059999942779541016,1,1,1.810999870300293,0.0,0.7079999446868896
m15j15d15p05_2.csv.out,2,1,1.7079999446868896,0.0,0.08000016212463379,2,1,1.7339999675750732,0.0,0.7680001258850098
m15j15d15p05_3.csv.out,3,1,1.2100000381469727,0.0,0.05900001525878906,3,1,2.6649999618530273,0.0,1.1929998397827148
m15j15d15p05_4.csv.out,4,1,2.859999895095825,0.0,0.05799984931945801,4,1,1.6579999923706055,0.0,1.003999948501587
m15j15d15p10_0.csv.out,5,1,0.7799999713897705,0.0,0.06000018119812012,5,1,7.5269999504089355,0.0,3.305000066757202
m15j15d15p10_1.csv.out,7,1,0.5929999351501465,0.0,0.06099987030029297,7,1,3.5119998455047607,0.0,2.0879998207092285
m15j15d15p10_2.csv.out,7,1,1.187999963760376,0.0,0.056999921798706055,7,1,5.108999967575073,0.0,2.990999937057495
m15j15d15p10_3.csv.out,4,1,2.053999900817871,0.0,0.06100010871887207,4,1,5.500999927520752,0.0,2.310999870300293
m15j15d15p10_4.csv.out,6,1,1.7400000095367432,0.0,0.07400012016296387,6,1,5.58899998664856,0.0,1.99399995803833
m15j15d15p20_0.csv.out,6,1,0.3510000705718994,0.0,0.05900001525878906,6,1,13.32800006866455,0.0,6.572000026702881
m15j15d15p20_1.csv.out,7,1,1.5230000019073486,0.0,0.06400012969970703,7,1,15.83899998664856,0.0,5.552999973297119
m15j15d15p20_2.csv.out,5,1,0.30300021171569824,0.0,0.057000160217285156,5,1,14.311000108718872,0.0,5.883000135421753
m15j15d15p20_3.csv.out,9,1,0.25499987602233887,0.0,0.059999942779541016,9,1,17.457000017166138,0.0,9.67799997329712
m15j15d15p20_4.csv.out,6,1,2.2120001316070557,0.0,0.06299996376037598,6,1,58.09500002861023,0.0,4.976999998092651
m15j15d25p05_0.csv.out,0,1,0.20000004768371582,0.0,0.06400012969970703,0,1,2.2719998359680176,0.0,1.0479998588562012
m15j15d25p05_1.csv.out,1,1,0.19099998474121094,0.0,0.06200003623962402,1,1,2.6710000038146973,0.0,1.181999921798706
m15j15d25p05_2.csv.out,2,1,0.21899986267089844,0.0,0.06099987030029297,2,1,1.6659998893737793,0.0,0.7260000705718994
m15j15d25p05_3.csv.out,3,1,0.252000093460083,0.0,0.05800008773803711,3,1,1.6159999370574951,0.0,0.9709999561309814
m15j15d25p05_4.csv.out,2,1,0.2630000114440918,0.0,0.06400012969970703,2,1,2.430999994277954,0.0,1.0119998455047607
m15j15d25p10_0.csv.out,2,1,0.3469998836517334,0.0,0.06200003623962402,2,1,3.996999979019165,0.0,1.696000099182129
m15j15d25p10_1.csv.out,3,1,0.18900012969970703,0.0,0.05800008773803711,3,1,4.078000068664551,0.0,1.8550000190734863
m15j15d25p10_2.csv.out,3,1,1.1759998798370361,0.0,0.06299996376037598,3,1,6.760999917984009,0.0,3.4129998683929443
m15j15d25p10_3.csv.out,6,1,0.41700005531311035,0.0,0.059999942779541016,6,1,7.671999931335449,0.0,3.386000156402588
m15j15d25p10_4.csv.out,3,1,1.5420000553131104,0.0,0.06099987030029297,3,1,3.7059998512268066,0.0,1.9019999504089355
m15j15d25p20_0.csv.out,5,1,0.7739999294281006,0.0,0.059999942779541016,5,1,20.87000012397766,0.0,8.501000165939331
m15j15d25p20_1.csv.out,6,1,0.46000003814697266,0.0,0.06200003623962402,6,1,12.71500015258789,0.0,6.325000047683716
m15j15d25p20_2.csv.out,9,1,0.2369999885559082,0.0,0.06100010871887207,9,1,22.08999991416931,0.0,10.134999990463257
m15j15d25p20_3.csv.out,6,1,0.47100019454956055,0.0,0.06200003623962402,6,1,15.17799997329712,0.0,8.068000078201294
m15j15d25p20_4.csv.out,3,1,0.8910000324249268,0.0,0.06200003623962402,3,1,9.60099983215332,0.0,2.878000020980835
m15j25d15p05_0.csv.out,10,0,1800.630000114441,0.5999999999940001,0.1400001049041748,10,1,8.740000009536743,0.0,4.203999996185303
m15j25d15p05_1.csv.out,10,1,37.07299995422363,0.0,0.1419999599456787,10,1,8.197999954223633,0.0,4.85099983215332
m15j25d15p05_2.csv.out,8,0,1800.9409999847412,0.24999999999687533,0.1379997730255127,8,1,6.478000164031982,0.0,2.6660001277923584
m15j25d15p05_3.csv.out,12,1,543.2850000858307,0.0,0.14800000190734863,12,1,10.190999984741211,0.0,5.607000112533569
m15j25d15p05_4.csv.out,10,0,4616.930999994278,0.492938775505298,0.17699980735778809,10,1,14.223000049591064,0.0,4.168999910354614
m15j25d15p10_0.csv.out,9,1,21.550999879837036,0.0,0.17499995231628418,9,1,17.257999897003174,0.0,5.700999975204468
m15j25d15p10_1.csv.out,9,1,30.026999950408936,0.0,0.09400010108947754,9,1,10.532999992370605,0.0,4.321999788284302
m15j25d15p10_2.csv.out,12,1,530.6180000305176,0.0,0.09800004959106445,12,1,15.530999898910522,0.0,6.878999948501587
m15j25d15p10_3.csv.out,13,1,65.59700012207031,0.0,0.0970001220703125,13,1,25.682000160217285,0.0,8.523000001907349
m15j25d15p10_4.csv.out,10,1,377.7829999923706,0.0,0.09500002861022949,10,1,10.866999864578247,0.0,4.480999946594238
m15j25d15p20_0.csv.out,16,1,443.34699988365173,0.0,0.09099984169006348,16,1,339.47199988365173,0.0,24.424000024795532
m15j25d15p20_1.csv.out,16,1,32.10199999809265,0.0,0.10800004005432129,16,1,317.5240001678467,0.0,26.028000116348267
m15j25d15p20_2.csv.out,14,1,7.226999998092651,0.0,0.11800003051757812,14,1,161.48099994659424,0.0,15.949000120162964
m15j25d15p20_3.csv.out,15,1,2.069999933242798,0.0,0.1119999885559082,15,1,34.17199993133545,0.0,18.16599988937378
m15j25d15p20_4.csv.out,16,1,4.110000133514404,0.0,0.10100007057189941,16,1,104.65200018882751,0.0,22.30900001525879
m15j25d25p05_0.csv.out,6,1,149.6029999256134,0.0,0.12199997901916504,6,1,5.996999979019165,0.0,2.3299999237060547
m15j25d25p05_1.csv.out,9,1,246.27100014686584,0.0,0.09900021553039551,9,1,5.314000129699707,0.0,3.011000156402588
m15j25d25p05_2.csv.out,5,0,1800.425999879837,0.39999999999200214,0.10099983215332031,4,1,5.2779998779296875,0.0,2.24399995803833
m15j25d25p05_3.csv.out,5,0,1800.4360001087189,0.5999999999880001,0.09500002861022949,5,1,10.72000002861023,0.0,2.2360000610351562
m15j25d25p05_4.csv.out,7,1,486.5970001220703,0.0,0.09200000762939453,7,1,12.854000091552734,0.0,2.9509999752044678
m15j25d25p10_0.csv.out,9,1,1236.8310000896454,0.0,0.0970001220703125,9,1,21.052000045776367,0.0,6.2190001010894775
m15j25d25p10_1.csv.out,13,0,1800.4539999961853,0.1538461538449715,0.09100008010864258,13,1,13.903000116348267,0.0,7.302999973297119
m15j25d25p10_2.csv.out,9,1,712.7090001106262,0.0,0.0970001220703125,9,1,21.97699999809265,0.0,5.64300012588501
m15j25d25p10_3.csv.out,8,1,258.34800004959106,0.0,0.0970001220703125,8,1,71.18700003623962,0.0,4.957000017166138
m15j25d25p10_4.csv.out,8,0,1800.417000055313,0.37499999999531497,0.09500002861022949,8,1,160.36800003051758,0.0,6.216000080108643
m15j25d25p20_0.csv.out,13,1,1162.6110000610352,0.0,0.11700010299682617,13,1,121.1470000743866,0.0,19.736000061035156
m15j25d25p20_1.csv.out,15,1,39.03699994087219,0.0,0.09799981117248535,15,1,288.0499999523163,0.0,20.860999822616577
m15j25d25p20_2.csv.out,13,1,12.069999933242798,0.0,0.09500002861022949,13,1,111.4559998512268,0.0,14.645999908447266
m15j25d25p20_3.csv.out,15,1,329.5199999809265,0.0,0.09800004959106445,15,1,439.1289999485016,0.0,30.473000049591064
m15j25d25p20_4.csv.out,13,1,48.26700019836426,0.0,0.09300017356872559,13,1,44.18599987030029,0.0,13.322999954223633
m25j15d15p05_0.csv.out,4,1,0.7869999408721924,0.0,0.039999961853027344,4,1,4.172999858856201,0.0,1.624000072479248
m25j15d15p05_1.csv.out,3,1,0.1380000114440918,0.0,0.040000200271606445,3,1,2.8329999446868896,0.0,1.508000135421753
m25j15d15p05_2.csv.out,3,1,0.37400007247924805,0.0,0.042999982833862305,3,1,3.3509998321533203,0.0,1.750999927520752
m25j15d15p05_3.csv.out,2,1,0.26999998092651367,0.0,0.0409998893737793,2,1,1.558000087738037,0.0,0.8889999389648438
